sample-id	watersample	concentration	depth	surface	station	season	preservation
#q2:types	categorical	numeric	numeric	categorical	categorical	categorical	categorical
Sample-1	43840	6.6	11.9	Bottom	ESI_05	spring	Self-preserve
Sample-2	43841	5.07	31.7	Surface	ESI_06	spring	Self-preserve
Sample-3	43842	2.8	31.7	Bottom	ESI_06	spring	Frozen
Sample-4	43843	3.8	77	Surface	ESI_07	spring	Frozen
Sample-5	43844	2.69	77	Bottom	ESI_07	spring	Frozen
Sample-6	43845	5.03	11.9	Bottom	ESI_05	spring	Frozen
Sample-7	43846	4.46	77	Surface	ESI_07	spring	Frozen
Sample-8	43847	5.66	114	Bottom	ESI_08	spring	Frozen
Sample-9	43848	4.38	77	Bottom	ESI_07	spring	Frozen
Sample-10	43849	6.62	77	Bottom	ESI_07	spring	Frozen
Sample-11	43850	4.39	11.9	Surface	ESI_05	spring	Self-preserve
Sample-12	43851	3.93	114	Surface	ESI_08	spring	Frozen
Sample-13	43852	2.63	11.9	Surface	ESI_05	spring	Frozen
Sample-14	43853	3.41	31.7	Bottom	ESI_06	spring	Self-preserve
Sample-15	43854	2.57	114	Bottom	ESI_08	spring	Frozen
Sample-16	43855	3.82	31.7	Bottom	ESI_06	spring	Self-preserve
Sample-17	43856	3.68	77	Surface	ESI_07	spring	Frozen
Sample-18	43857	3.28	11.9	Surface	ESI_05	spring	Frozen
Sample-19	43858	6.91	11.9	Bottom	ESI_05	spring	Frozen
Sample-20	43859	4.93	31.7	Surface	ESI_06	spring	Frozen
Sample-21	43860	4.71	31.7	Surface	ESI_06	spring	Frozen
Sample-22	43861	0	0	Blank	Blank	Blank	Frozen
Sample-23	2023ESI_01	3.83	112	Surface	ESI_08	fall	Frozen
Sample-24	2023ESI_02	3.2	112	Surface	ESI_08	fall	Frozen
Sample-25	2023ESI_03	4.37	112	Surface	ESI_08	fall	Frozen
Sample-26	2023ESI_04	1.88	74	Deep	ESI_07	fall	Frozen
Sample-27	2023ESI_05	1.33	74	Deep	ESI_07	fall	Frozen
Sample-28	2023ESI_06	2.27	74	Deep	ESI_07	fall	Frozen
Sample-29	2023ESI_07	4.7	74	Surface	ESI_07	fall	Frozen
Sample-30	2023ESI_08	3.82	74	Surface	ESI_07	fall	Frozen
Sample-31	2023ESI_09	2.41	74	Surface	ESI_07	fall	Frozen
Sample-32	2023ESI_10	1.81	30.9	Deep	ESI_06	fall	Frozen
Sample-33	2023ESI_11	2.19	30.9	Deep	ESI_06	fall	Frozen
Sample-34	2023ESI_12	2.62	30.9	Deep	ESI_06	fall	Frozen
Sample-35	2023ESI_13	4.31	30.9	Surface	ESI_06	fall	Frozen
Sample-36	2023ESI_14	3.78	30.9	Surface	ESI_06	fall	Frozen
Sample-37	2023ESI_15	2.7	30.9	Surface	ESI_06	fall	Frozen
Sample-38	2023ESI_16	3.31	12.8	Deep	ESI_05	fall	Frozen
Sample-39	2023ESI_17	2.61	12.8	Deep	ESI_05	fall	Frozen
Sample-40	2023ESI_18	2.58	12.8	Deep	ESI_05	fall	Frozen
Sample-41	2023ESI_19	3.4	12.8	Surface	ESI_05	fall	Frozen
Sample-42	2023ESI_20	3.52	12.8	Surface	ESI_05	fall	Frozen
Sample-43	2023ESI_21	3.15	12.8	Surface	ESI_05	fall	Frozen
Sample-44	2023ESI_22	0.548	0	FieldBlank	Blank	Blank	Frozen
Sample-45	2023ESI_23	0.564	0	FieldBlank	Blank	Blank	Frozen
Sample-46	2023ESI_24	2.27	34.5	Bottom	ESI_06	summer	Frozen
Sample-47	2023ESI_25	3.8	34.5	Bottom	ESI_06	summer	Frozen
Sample-48	2023ESI_26	3.45	34.5	Bottom	ESI_06	summer	Frozen
Sample-49	2023ESI_27	2.32	112	Deep	ESI_08	fall	Frozen
Sample-50	2023ESI_28	1.79	112	Deep	ESI_08	fall	Frozen
Sample-51	2023ESI_29	2.23	112	Deep	ESI_08	fall	Frozen
Sample-52	807-ENEG-1	0	0	LabBlank	LabBlank	LabBlank	None
Sample-53	872-ENEG-1	0	0	LabBlank	LabBlank	LabBlank	None
Sample-54	843-ENEG-1	0	0	LabBlank	LabBlank	LabBlank	None
Sample-55	843-ENEG-2	0	0	LabBlank	LabBlank	LabBlank	None
Sample-56	877-ENEG-1	0	0	LabBlank	LabBlank	LabBlank	None
