sample-id	input	filtered	percentage of input passed filter	denoised	merged	percentage of input merged	non-chimeric	percentage of input non-chimeric
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
2023ESI_01	1903140	1852886	97.36	1850630	1763867	92.68	1718415	90.29
2023ESI_02	2267358	2206385	97.31	2200841	2056909	90.72	2012527	88.76
2023ESI_03	2120617	2060755	97.18	2057654	1920701	90.57	1837865	86.67
2023ESI_04	2320560	2241177	96.58	2240128	2050590	88.37	2035408	87.71
2023ESI_05	94136	87784	93.25	87737	84971	90.26	83726	88.94
2023ESI_06	1615014	1568042	97.09	1564461	1481084	91.71	1437876	89.03
2023ESI_07	1043	994	95.3	991	978	93.77	978	93.77
2023ESI_08	651648	622040	95.46	621623	591205	90.72	573441	88
2023ESI_09	1402767	1364864	97.3	1362243	1283558	91.5	1226894	87.46
2023ESI_10	2078771	2023019	97.32	2021466	1877746	90.33	1827376	87.91
2023ESI_12	1405118	1367281	97.31	1363367	1281423	91.2	1247378	88.77
2023ESI_13	2524142	2455128	97.27	2454263	2240645	88.77	2169242	85.94
2023ESI_14	1138279	1108368	97.37	1107243	1042147	91.55	1021284	89.72
2023ESI_15	1338101	1299819	97.14	1296893	1234049	92.22	1186812	88.69
2023ESI_17	1920600	1870380	97.39	1868891	1726001	89.87	1673008	87.11
2023ESI_18	1230821	1196477	97.21	1195133	1118770	90.9	1101896	89.53
2023ESI_19	66	3	4.55	1	0	0	0	0
2023ESI_21	883180	857887	97.14	856489	820792	92.94	794546	89.96
2023ESI_22	1322491	1282016	96.94	1280778	1203266	90.98	1169747	88.45
499612	488255	471448	96.56	470205	429460	87.96	419594	85.94
499613	472411	457579	96.86	456897	428414	90.69	418891	88.67
499614	854267	829404	97.09	828214	770834	90.23	757011	88.62
499615	502282	488083	97.17	487467	461602	91.9	453579	90.3
499616	757195	735587	97.15	733959	680156	89.83	661373	87.35
499617	242634	236294	97.39	235918	223595	92.15	219603	90.51
499618	143	81	56.64	58	22	15.38	22	15.38
499619	673469	654879	97.24	654005	606931	90.12	603253	89.57
499620	1036408	1008849	97.34	1006584	929624	89.7	907229	87.54
499621	1398781	1360958	97.3	1358138	1275153	91.16	1218054	87.08
499622	90	85	94.44	63	13	14.44	13	14.44
499623	570621	554537	97.18	553410	519583	91.06	510642	89.49
499624	251828	244847	97.23	243781	232401	92.29	227243	90.24
499625	129824	126053	97.1	125783	121995	93.97	120366	92.71
499626	2237	2134	95.4	2119	2033	90.88	2033	90.88
499627	1375336	1337395	97.24	1335020	1237826	90	1202397	87.43
499628	1390124	1353463	97.36	1349887	1258383	90.52	1220103	87.77
499629	2341	2246	95.94	2162	1493	63.78	1493	63.78
499630	724	640	88.4	625	572	79.01	572	79.01
499631	541663	483678	89.3	483564	452532	83.54	443382	81.86
499632	1024687	991895	96.8	991428	926273	90.4	896167	87.46
499633	300619	291758	97.05	290914	276884	92.1	268623	89.36
499634	337	317	94.07	295	164	48.66	164	48.66
499635	1451769	1410211	97.14	1408120	1307161	90.04	1274333	87.78
499636	240715	209236	86.92	209104	200243	83.19	196629	81.69
499637	1545918	1501710	97.14	1499208	1389917	89.91	1343374	86.9
499638	1118	1081	96.69	1071	1044	93.38	1044	93.38
499639	999629	971685	97.2	970024	914234	91.46	887511	88.78
499640	649737	631299	97.16	630940	593925	91.41	581496	89.5
499641	514607	499397	97.04	498506	475304	92.36	463792	90.13
499642	3323	3138	94.43	3125	3007	90.49	3007	90.49
499643	1144675	1107517	96.75	1107249	1044567	91.25	1008100	88.07
499644	383551	371694	96.91	370480	352061	91.79	345658	90.12
499645	576195	559382	97.08	558308	527000	91.46	512981	89.03
499646	55	3	5.45	1	0	0	0	0
499647	890739	864721	97.08	864166	817334	91.76	802471	90.09
499648	645552	626771	97.09	625716	594765	92.13	580323	89.9
499649	379444	368521	97.12	366715	349570	92.13	342969	90.39
499650	828	722	87.2	701	480	57.97	476	57.49
499651	530026	513377	96.86	513060	481043	90.76	468501	88.39
499652	162890	158446	97.27	158346	151567	93.05	149156	91.57
499653	691	678	98.12	606	94	13.6	94	13.6
499654	7051	6730	95.45	6706	6388	90.6	6349	90.04
499655	772	422	54.66	397	288	37.31	288	37.31
ENEG1	2016	1956	97.02	1951	1865	92.51	1865	92.51
ENEG2	897	871	97.1	864	861	95.99	861	95.99
EXT003	6	0	0	0	0	0	0	0
EXT004	74	70	94.59	66	62	83.78	62	83.78
EXT005	11	0	0	0	0	0	0	0
PCRBlank003	13	0	0	0	0	0	0	0
PCRBlank004	4798	4649	96.89	4629	4574	95.33	4574	95.33
