Seining,eDNA
Microgadus tomcod            , Alosa aestivalis               
Myoxocephalus spp.           , Alosa pseudoharengus           
Anguilla rostrata            , Ammodytes marinus              
Menidia menidia              , Anguilla rostrata              
Pseudopleuronectes americanus, Auxis rochei                   
Pholis gunnellus             , Caranx hippos                  
Syngnathus fuscus            , Clupea harengus                
Tautogolabrus adspersus      , Cryptacanthodes maculatus      
Gasterosteus aculeatus       , Eumesogrammus praecisus        
Clupea harengus              , Fundulus heteroclitus          
Scomber scombrus             , Gadus morhua                   
Urophycis tenuis             , Gasterosteus aculeatus         
Ammodytes sp.                , Gasterosteus wheatlandi        
Priacanthidae                , Hemitripterus americanus       
Alosa pseudoharengus , Hippoglossus hippoglossus      
, Liparis miostomus              
, Menidia menidia                
, Merluccius bilinearis          
, Microgadus tomcod              
, Myoxocephalus aenaeas          
, Myoxocephalus octodecemspinosus
, Myoxocephalus scorpius         
, Oncorhynchus keta              
, Pholis gunnellus               
, Pollachius virens              
, Pseudopleuronectes americanus  
, Scomber scombrus               
, Scophthalmus aquosus           
, Sebastes mentella              
, Syngnathus fuscus              
, Tautogolabrus adspersus 
